checkpoint,checkpoint_sha256,mode,steps,n_sampling_seeds,fid_mean,fid_sample_sd,sampling_seconds_mean
Original checkpoint,c4145894a7dfd44a695396070fccd142c53fff3c06c46e4d04a66a4177b3adc6,no_clip,20,3,5.404580736804083,0.05835101428345051,10.313500865333367
Original checkpoint,c4145894a7dfd44a695396070fccd142c53fff3c06c46e4d04a66a4177b3adc6,no_clip,50,3,4.878176880488543,0.06103352094384766,25.428743067001545
Original checkpoint,c4145894a7dfd44a695396070fccd142c53fff3c06c46e4d04a66a4177b3adc6,no_clip,200,3,5.447246120068191,0.08218565249587678,100.84800686100016
Original checkpoint,c4145894a7dfd44a695396070fccd142c53fff3c06c46e4d04a66a4177b3adc6,clip_original,20,3,6.369392775684976,0.0473335139182256,10.333606005666903
Original checkpoint,c4145894a7dfd44a695396070fccd142c53fff3c06c46e4d04a66a4177b3adc6,clip_original,50,3,7.707417039785649,0.07315391794096475,25.57029298133254
Original checkpoint,c4145894a7dfd44a695396070fccd142c53fff3c06c46e4d04a66a4177b3adc6,clip_original,200,3,17.471089159657406,0.09948037118482027,101.83746606900104
Original checkpoint,c4145894a7dfd44a695396070fccd142c53fff3c06c46e4d04a66a4177b3adc6,clip_recompute,20,3,5.639025371873781,0.06593096081522784,10.56676856600014
Original checkpoint,c4145894a7dfd44a695396070fccd142c53fff3c06c46e4d04a66a4177b3adc6,clip_recompute,50,3,5.1213856627538705,0.052056179170139605,25.977564028666546
Original checkpoint,c4145894a7dfd44a695396070fccd142c53fff3c06c46e4d04a66a4177b3adc6,clip_recompute,200,3,5.680345568427422,0.0690649583315137,102.91790953333339
Training seed 2026,41399fca5807a9531e89102a15dcc45341d30dfb9684d0883eade53cb41cc16c,no_clip,20,3,5.349974352713976,0.048777602869643576,10.78725048133189
Training seed 2026,41399fca5807a9531e89102a15dcc45341d30dfb9684d0883eade53cb41cc16c,no_clip,50,3,4.763754182258424,0.08727533498397463,26.31278491566809
Training seed 2026,41399fca5807a9531e89102a15dcc45341d30dfb9684d0883eade53cb41cc16c,no_clip,200,3,5.207953534134059,0.09573540810225556,103.79560712033314
Training seed 2026,41399fca5807a9531e89102a15dcc45341d30dfb9684d0883eade53cb41cc16c,clip_original,20,3,6.36230352610021,0.05086732651061399,10.635193489009302
Training seed 2026,41399fca5807a9531e89102a15dcc45341d30dfb9684d0883eade53cb41cc16c,clip_original,50,3,7.448845036889149,0.09926405811246448,26.277040631337513
Training seed 2026,41399fca5807a9531e89102a15dcc45341d30dfb9684d0883eade53cb41cc16c,clip_original,200,3,21.481367262107995,0.08785544041703572,104.14782757933669
Training seed 2026,41399fca5807a9531e89102a15dcc45341d30dfb9684d0883eade53cb41cc16c,clip_recompute,20,3,5.599812127192365,0.06891174491084898,10.797831641330959
Training seed 2026,41399fca5807a9531e89102a15dcc45341d30dfb9684d0883eade53cb41cc16c,clip_recompute,50,3,5.003349570554178,0.1050648811745143,26.7955371726642
Training seed 2026,41399fca5807a9531e89102a15dcc45341d30dfb9684d0883eade53cb41cc16c,clip_recompute,200,3,5.419081785747873,0.11406389254660103,105.41449527200741
